school,sex,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,g1,g2,g3,source_file
gp,f,18.0,u,GT3,A,4,4,at_home,teacher,course,mother,2,2.0,0.0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6.0,5.0,6.0,6.0,student-mat-dirty.csv
gp,f,17.0,u,GT3,T,1,1,other,other,course,father,1,2.0,0.0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4.0,5.0,5.0,6.0,student-mat-dirty.csv
gp,f,15.0,u,LE3,T,1,1,at_home,other,other,mother,1,2.0,3.0,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10.0,7.0,8.0,10.0,student-mat-dirty.csv
gp,f,15.0,nan,GT3,T,4,2,health,services,home,mother,1,3.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2.0,15.0,14.0,15.0,student-mat-dirty.csv
gp,f,16.0,u,GT3,T,3,3,other,other,home,Father,1,2.0,0.0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4.0,6.0,10.0,10.0,student-mat-dirty.csv
gp,m,16.0,u,LE3,T,4,3,services,other,reputation,mother,1,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10.0,15.0,15.0,15.0,student-mat-dirty.csv
gp,m,16.0,u,LE3,T,2,2,other,other,home,mother,1,2.0,0.0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0.0,12.0,12.0,11.0,student-mat-dirty.csv
gp,f,17.0,u,GT3,A,4,4,other,teacher,home,mother,2,2.0,0.0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6.0,6.0,5.0,6.0,student-mat-dirty.csv
gp,m,15.0,u,LE3,A,3,2,services,other,home,mother,1,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0.0,16.0,18.0,19.0,student-mat-dirty.csv
gp,m,15.0,u,GT3,T,3,4,other,other,home,mother,1,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0.0,14.0,15.0,15.0,student-mat-dirty.csv
